,firstName,lastName,gender-api,genderize
0,Makoto,Satoh,0,0
1,Altaf,Hossain,0,0
2,Rafael,Álvarez,0,0
3,Jovan,Golic,0,0
4,Güzin,Ulutas,1,1
5,Pranay,Chaudhuri,0,0
6,Dominik,Szajerman,0,0
7,Ankita,Brahmachari,1,1
8,Magnus,Mähring,0,0
9,Minoru,Shigenaga,0,0
10,Reiko,Heckel,1,1
11,Efthymios,Alepis,0,0
12,Milos,Zelezný,0,0
13,Abdullah,Alsubaie,0,0
14,Tien,Ho-Phuoc,0,0
15,Marco,Baroni,0,0
16,John,Douceur,0,0
17,Hiroshi,Furukawa,0,0
18,Nebojsa,Ralevic,0,0
19,Kazuhiro,Fuchi,0,0
20,Michel,Abdalla,0,0
21,Martine,Collard,1,1
22,Yosuke,Furukawa,0,0
23,Dirk,De Maeyer,0,0
24,Alexei,Novikov,0,0
25,Jin-Kao,Hao,0,-1
26,Tegegne,Marew,0,0
27,Łukasz,Kobyliński,0,0
28,Aristides,Dikos,0,0
29,Harald,Weinreich,0,0
30,Paul,Mockapetris,0,0
31,Ted,Szymanski,0,0
32,James,Niblock,0,0
33,Nadine,Kafa,1,1
34,Lawrence,Mazlack,0,0
35,Qiong,Liu,1,1
36,Jim,Hunter,0,0
37,Li-Qun,Xu,1,-1
38,Claudius,Gläser,0,0
39,Michael,Henning,0,0
40,Robert,Van Gorder,0,0
41,Munish,Gandhi,0,0
42,Etiel,Petrinja,0,0
43,Carlos,Salgado,0,0
44,Peter,Lane,0,0
45,Ying,Wu,1,1
46,Robert,Austin,0,0
47,Luc,Hoegaerts,0,0
48,Qingxiao,Guan,0,1
49,Mike,Rinderknecht,0,0
50,Diana,Zaiu Inkpen,1,1
51,Reinhard,Klein,0,0
52,Volker,Frehe,0,0
53,Eleanor,Leist,1,1
54,Belhassen,Akrout,0,0
55,Tomohisa,Yamashita,0,0
56,Jesper,Thestrup,0,0
57,Narciso,Cerpa,0,0
58,Petko,Valtchev,0,0
59,Takahisa,Toda,0,0
60,Thomas,Portele,0,0
61,Jeff,Conklin,0,0
62,Megan,MacGregor,1,1
63,Jason,Cope,0,0
64,Guo-Hong,Ding,1,-1
65,Diane,Rowland,1,1
66,Jaewook,Chung,0,0
67,Donald,Allen,0,0
68,Xia,Wang,1,1
69,Pascal,Nicolas,0,0
70,Catarina,Lucena,1,1
71,Adnan,Al-Khatib,0,0
72,Pedro,Pereira,0,0
73,Dmitry,Kropotov,0,0
74,Aitor,Murguzur,0,0
75,Malin,Nilsson,1,1
76,Mira,Balaban,1,1
77,Li,Zhang,1,1
78,Paweł,Górecki,0,0
79,Jan,Walraven,0,0
80,Richard,Sproat,0,0
81,Maik,Herfurth,0,0
82,Stefan,Bosse,0,0
83,Zaruhi,Mnatsakanyan,1,1
84,Glenn,Stewart,0,0
85,Hamed,Hassanzadeh,0,0
86,Yuu,Tanaka,0,0
87,Balasingham,Balamohan,0,0
88,Rui,Wang,0,0
89,Mario,Tokoro,0,0
90,Mehdi,Snene,0,0
91,Padmanabhan,Menon,0,0
92,Kamran,Tirdad,0,0
93,Werner,Horn,0,0
94,Alexander,Redei,0,0
95,Anna,Rumshisky,1,1
96,Abdelkader,Adla,0,0
97,Nadia,Nedjah,1,1
98,Carmen,Banea,1,1
99,Giovanna,Guerrini,1,1
